No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
11,2025-02-02,INS170101CV,FLORES AEROPUERTO,3.8,22.0,25.0,29.4,2.0,88.0,7.0,12.3,90.0,752.1,INSDMCL1701001CONV,16.916093,-89.86686,123.0
12,2025-02-03,INS170101CV,FLORES AEROPUERTO,0.0,22.0,25.5,30.0,3.8,81.0,7.0,7.4,135.0,752.1,INSDMCL1701001CONV,16.916093,-89.86686,123.0
13,2025-02-04,INS170101CV,FLORES AEROPUERTO,0.0,19.0,26.0,31.0,4.0,77.0,6.0,8.5,90.0,752.1,INSDMCL1701001CONV,16.916093,-89.86686,123.0
14,2025-02-05,INS170101CV,FLORES AEROPUERTO,0.0,20.0,23.9,30.6,2.0,87.0,8.0,6.2,180.0,751.8,INSDMCL1701001CONV,16.916093,-89.86686,123.0
15,2025-02-06,INS170101CV,FLORES AEROPUERTO,0.0,19.0,25.7,33.4,7.0,78.0,3.0,3.7,135.0,751.7,INSDMCL1701001CONV,16.916093,-89.86686,123.0
16,2025-02-07,INS170101CV,FLORES AEROPUERTO,0.0,18.4,23.7,28.8,2.0,88.0,7.0,6.7,135.0,752.6,INSDMCL1701001CONV,16.916093,-89.86686,123.0
17,2025-02-08,INS170101CV,FLORES AEROPUERTO,13.6,21.0,24.1,30.0,2.0,89.0,7.0,5.6,180.0,752.7,INSDMCL1701001CONV,16.916093,-89.86686,123.0
18,2025-02-09,INS170101CV,FLORES AEROPUERTO,0.0,20.0,25.5,32.2,4.6,85.0,6.0,4.3,90.0,752.6,INSDMCL1701001CONV,16.916093,-89.86686,123.0
19,2025-02-10,INS170101CV,FLORES AEROPUERTO,2.2,18.0,24.6,32.0,2.8,84.0,6.0,5.4,90.0,752.4,INSDMCL1701001CONV,16.916093,-89.86686,123.0
20,2025-02-11,INS170101CV,FLORES AEROPUERTO,0.0,18.0,23.8,30.6,4.6,84.0,7.0,6.2,90.0,750.2,INSDMCL1701001CONV,16.916093,-89.86686,123.0
21,2025-02-12,INS170101CV,FLORES AEROPUERTO,0.0,20.0,27.8,33.8,2.0,73.0,0.0,8.2,90.0,747.1,INSDMCL1701001CONV,16.916093,-89.86686,123.0
22,2025-02-13,INS170101CV,FLORES AEROPUERTO,0.0,19.4,27.1,35.4,6.8,78.0,3.0,9.9,45.0,749.9,INSDMCL1701001CONV,16.916093,-89.86686,123.0
23,2025-02-14,INS170101CV,FLORES AEROPUERTO,0.0,21.4,26.1,32.0,4.8,80.0,3.0,8.5,45.0,753.2,INSDMCL1701001CONV,16.916093,-89.86686,123.0
24,2025-02-15,INS170101CV,FLORES AEROPUERTO,3.4,21.0,26.5,33.6,2.2,80.0,7.0,6.8,90.0,750.7,INSDMCL1701001CONV,16.916093,-89.86686,123.0
25,2025-02-16,INS170101CV,FLORES AEROPUERTO,0.0,18.6,26.5,33.0,4.4,79.0,6.0,8.0,315.0,748.9,INSDMCL1701001CONV,16.916093,-89.86686,123.0
26,2025-02-17,INS170101CV,FLORES AEROPUERTO,5.4,22.6,26.0,31.2,3.0,85.0,6.0,5.5,90.0,750.9,INSDMCL1701001CONV,16.916093,-89.86686,123.0
27,2025-02-18,INS170101CV,FLORES AEROPUERTO,0.0,19.6,26.7,33.0,5.4,77.0,3.0,9.9,90.0,750.1,INSDMCL1701001CONV,16.916093,-89.86686,123.0
28,2025-02-19,INS170101CV,FLORES AEROPUERTO,6.4,19.6,27.4,32.8,3.6,74.0,3.0,3.7,360.0,749.4,INSDMCL1701001CONV,16.916093,-89.86686,123.0
29,2025-02-20,INS170101CV,FLORES AEROPUERTO,5.0,20.0,26.5,33.0,5.8,83.0,7.0,5.6,360.0,751.7,INSDMCL1701001CONV,16.916093,-89.86686,123.0
30,2025-02-21,INS170101CV,FLORES AEROPUERTO,,22.0,22.7,,2.0,94.0,8.0,9.2,315.0,754.6,INSDMCL1701001CONV,16.916093,-89.86686,123.0
